uid,病例数,新闻日期,省份,地级行政单位,Gaode_Lng,Gaode_Lat,province,city,citycode,adcode,level
1,1,2019/12/31,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
2,26,2019/12/31,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
3,1,2020/1/5,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
4,31,2020/1/5,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
5,1,2020/1/17,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
6,1,2020/1/17,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
7,1,2020/1/17,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
8,1,2020/1/17,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
9,17,2020/1/18,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
10,59,2020/1/19,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
11,77,2020/1/20,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
12,60,2020/1/21,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
13,12,2020/1/21,湖北,黄冈,114.872316,30.453905,湖北省,黄冈市,黄冈市,421100,市
14,1,2020/1/22,湖北,荆州,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
15,5,2020/1/22,湖北,荆州,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
16,10,2020/1/23,湖北,黄石,115.03852,30.199652,湖北省,黄石市,黄石市,420200,市
17,1,2020/1/23,湖北,荆门,112.199265,31.035423,湖北省,荆门市,荆门市,420800,市
18,6,2020/1/23,湖北,荆州,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
19,62,2020/1/23,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
20,1,2020/1/24,湖北,宜昌,111.286471,30.691967,湖北省,宜昌市,宜昌市,420500,市
21,1,2020/1/24,湖北,十堰,110.79799,32.629397,湖北省,十堰市,十堰市,420300,市
22,22,2020/1/24,湖北,孝感,113.916902,30.924568,湖北省,孝感市,孝感市,420900,市
23,2,2020/1/24,湖北,仙桃,113.454593,30.362641,湖北省,[],[],429000,市
24,77,2020/1/25,湖北,武汉,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
25,4,2020/1/25,湖北,十堰,110.79799,32.629397,湖北省,十堰市,十堰市,420300,市
26,13,2020/1/25,湖北,荆门,112.199265,31.035423,湖北省,荆门市,荆门市,420800,市
27,4,2020/1/25,湖北,孝感,113.916902,30.924568,湖北省,孝感市,孝感市,420900,市
28,52,2020/1/25,湖北,黄冈,114.872316,30.453905,湖北省,黄冈市,黄冈市,421100,市
29,2,2020/1/25,湖北,荆州,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
30,8,2020/1/25,湖北,仙桃,113.454593,30.362641,湖北省,[],[],429000,市
31,5,2020/1/25,湖北,随州,113.382458,31.690215,湖北省,随州市,随州市,421300,市
32,11,2020/1/25,湖北,恩施州,109.488172,30.272156,湖北省,恩施土家族苗族自治州,恩施土家族苗族自治州,422800,市
33,1,2020/1/25,湖北,鄂州,114.894843,30.39194,湖北省,鄂州市,鄂州市,420700,市
34,3,2020/1/25,湖北,天门市,113.166558,30.66372,湖北省,[],[],429006,区县
35,70,2020/1/22,湖北,武汉市,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
36,7,2020/1/22,湖北,荆门市,112.199265,31.035423,湖北省,荆门市,荆门市,420800,市
37,2,2020/1/22,湖北,荆州市,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
38,2,2020/1/22,湖北,仙桃市,113.442973,30.328407,湖北省,[],[],429004,区县
39,1,2020/1/22,湖北,十堰市,110.79799,32.629397,湖北省,十堰市,十堰市,420300,市
40,1,2020/1/22,湖北,宜昌市,111.286471,30.691967,湖北省,宜昌市,宜昌市,420500,市
41,22,2020/1/22,湖北,孝感市,113.916902,30.924568,湖北省,孝感市,孝感市,420900,市
42,62,2020/1/22,湖北,武汉市,114.305392,30.593098,湖北省,武汉市,武汉市,420100,市
43,6,2020/1/22,湖北,荆州市,112.239741,30.335165,湖北省,荆州市,荆州市,421000,市
44,1,2020/1/22,湖北,荆门市,112.199265,31.035423,湖北省,荆门市,荆门市,420800,市
45,9,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
46,4,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
47,4,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
48,2,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
49,2,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
50,1,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
51,1,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
52,2,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
53,3,2020/1/25,湖北,咸宁,114.322492,29.841443,湖北省,咸宁市,咸宁市,421200,市
